"time","acc_x","acc_y","acc_z","w_x","w_y","w_z","ang_x","ang_y","ang_z"
"0","0","0","0","0","0","0","0","0","0"
"2.082","1.021","0.127","0.12","-0.06","-0.43","-0.43","74.19","-77.07","91.57"
"4.11","1.021","0.125","0.123","-0.12","-0.12","-0.37","73.52","-77.06","92.43"
"6.077","1.017","0.11","0.146","0.79","1.59","1.16","64.43","-77.74","102.11"
"8.079","0.982","0.095","0.264","-0.79","0.18","-0.85","42.46","-74.21","124.62"
"10.074","1.04","0.175","-0.099","0.79","1.89","-0.73","121.87","-72.28","44.31"
"12.052","1.038","0.178","-0.101","-0.61","0.43","-0.43","118.87","-72.43","43.46"
"14.05","1.038","0.172","-0.068","-0.43","0.61","-0.24","113.4","-73.42","47.84"
"16.059","1.018","0.11","0.139","0.18","-0.79","-0.37","67.2","-77.31","96.48"
"18.04","0.999","0.08","0.204","-11.29","-0.24","-0.43","50.59","-76.47","114.81"
"20.038","1.009","0.086","0.211","-0.73","2.99","0.55","57.06","-77.11","109.45"
"22.011","0.963","0.034","0.311","-1.04","-1.28","-0.61","26.92","-73.72","140.73"
"23.99","0.965","0.03","0.309","-0.06","-0.31","-0.12","26.55","-73.99","140.93"
"26.015","0.965","0.027","0.299","0.18","-2.08","-0.92","25.88","-74.25","140.72"
"27.985","1.025","0.066","0.118","-0.85","-7.75","-1.77","71.16","-80.58","96.24"
"29.978","0.995","0.058","0.238","0.92","0.06","-0.37","39.92","-76.67","126.85"
"31.957","1.03","0.12","0.079","-0.12","-0.92","-0.18","84.81","-77.59","79.07"
"33.974","1.027","0.116","0.088","-0.24","-0.61","-0.43","81.23","-77.9","83.73"
"35.984","1.033","0.126","0.052","0.61","-0.55","-0.06","91.01","-77.4","73.64"
"37.954","1.033","0.126","0.05","-0.92","-0.98","-0.55","91.53","-77.37","73.38"
"39.96","1.034","0.129","0.044","0.0","-0.49","-0.18","92.56","-77.41","72.54"
"41.926","1.034","0.128","0.045","0.06","-1.04","-0.67","92.88","-77.45","71.86"
"43.953","1.034","0.128","0.043","-0.37","-0.55","-0.43","93.43","-77.34","71.66"
"45.921","0.988","0.038","0.252","1.1","8.79","2.26","33.5","-76.81","135.02"
"47.904","0.981","0.04","0.262","-3.54","-2.62","-0.24","34.54","-76.42","133.04"
"49.917","0.985","0.035","0.255","-0.43","-0.55","-0.49","33.63","-76.61","133.64"
"51.886","0.998","0.011","0.233","-1.59","-5.31","-0.92","31.16","-79.09","136.56"
"53.9","0.995","0.069","0.221","5.92","0.0","-1.71","35.54","-78.61","130.23"
"55.883","0.997","0.037","0.226","0.92","0.73","0.31","38.38","-77.87","127.98"
"57.857","0.989","0.032","0.246","-1.34","0.18","-0.49","33.61","-77.09","133.03"
"59.856","1.031","0.095","0.038","-18.13","-5.68","-9.7","92.59","-78.46","64.73"
"61.859","1.038","0.133","0.005","-0.73","0.31","-0.31","99.53","-76.45","61.44"
"63.847","1.021","0.105","0.147","2.08","10.19","4.82","67.27","-78.72","98.5"
"65.845","1.007","0.069","0.197","-0.67","-0.49","-0.55","49.86","-77.96","117.03"
"67.813","1.005","0.071","0.205","0.06","-0.06","-0.31","49.31","-77.56","117.34"
"69.831","1.002","0.079","0.212","0.43","-0.49","-0.43","49.14","-77.05","118.38"
"71.798","1.007","0.073","0.2","0.18","0.06","-0.31","51.32","-77.53","115.32"
"73.803","1.002","0.076","0.216","0.12","-0.79","-0.37","48.11","-76.95","119.42"
"75.796","1.037","0.131","0.037","-1.59","-3.91","-1.16","96.86","-76.57","66.14"
"77.771","1.038","0.134","0.01","-0.43","-1.89","-0.73","100.35","-76.67","63.37"
"79.773","1.04","0.139","0.006","-0.12","-0.61","-0.43","102.17","-76.57","61.98"
"81.798","1.038","0.144","-0.002","-0.24","-0.67","-0.37","103.39","-76.26","60.66"
"83.756","1.04","0.144","-0.005","-0.43","-0.24","-0.43","103.82","-76.12","60.1"
"85.757","1.018","0.057","0.14","-4.94","-1.77","-1.4","62.77","-80.24","103.39"
"87.733","1.017","0.068","0.163","-0.98","1.04","0.18","58.89","-79.23","107.17"
"89.737","1.002","0.026","0.207","-0.18","2.01","1.34","39.59","-79.37","127.44"
"91.717","1.003","0.021","0.208","0.49","-0.06","-0.37","37.66","-79.31","128.51"
"93.716","1.042","0.1","0.037","-6.47","-7.57","-7.14","101.0","-78.61","62.24"
"95.698","1.032","0.119","0.06","-0.43","-1.83","-0.73","86.15","-77.68","77.22"
"97.696","1.032","0.115","0.076","0.24","-0.43","0.0","86.05","-78.04","79.0"
"99.686","1.032","0.118","0.063","-0.55","-0.18","-0.31","88.6","-77.9","76.72"
"101.723","1.031","0.119","0.07","0.37","0.31","-0.24","87.45","-78.03","78.23"
"103.709","1.032","0.119","0.065","","","","","",""
